#,,<unnamed>
1,destination,"[No Urgent Place, Home, Work]"
2,passanger,"[Alone, Friend(s), Kid(s), Partner]"
3,weather,"[Sunny, Rainy, Snowy]"
4,temperature,"[55, 80, 30]"
5,time,"[2PM, 10AM, 6PM, 7AM, 10PM]"
6,coupon,"[Restaurant(<20), Coffee House, Carry out & Take away, Bar, Restaurant(20-50)]"
7,expiration,"[1d, 2h]"
8,gender,"[Female, Male]"
9,age,"[21, 46, 26, 31, 41, 50plus, 36, below21]"
10,maritalStatus,"[Unmarried partner, Single, Married partner, Divorced, Widowed]"
11,has_children,"[1, 0]"
12,education,"[Some college - no degree, Bachelors degree, Associates degree, High School Graduate, Graduate degree (Masters or Doctorate), Some High School]"
13,occupation,"[Unemployed, Architecture & Engineering, Student, Education&Training&Library, Healthcare Support, Healthcare Practitioners & Technical, Sales & Related, Management, Arts Design Entertainment Sport..."
14,income,"[$37500 - $49999, $62500 - $74999, $12500 - $24999, $75000 - $87499, $50000 - $62499, $25000 - $37499, $100000 or More, $87500 - $99999, Less than $12500]"
15,car,"[nan, Scooter and motorcycle, crossover, Mazda5, do not drive, Car that is too old to install Onstar :D]"
16,Bar,"[never, less1, 1~3, gt8, nan, 4~8]"
17,CoffeeHouse,"[never, less1, 4~8, 1~3, gt8, nan]"
18,CarryAway,"[nan, 4~8, 1~3, gt8, less1, never]"
19,RestaurantLessThan20,"[4~8, 1~3, less1, gt8, nan, never]"
20,Restaurant20To50,"[1~3, less1, never, gt8, 4~8, nan]"
21,toCoupon_GEQ5min,[1]
22,toCoupon_GEQ15min,"[0, 1]"
23,toCoupon_GEQ25min,"[0, 1]"
24,direction_same,"[0, 1]"
25,direction_opp,"[1, 0]"
26,Y,"[1, 0]"
